situps,situps points
43,20
42,19.7
41,19.4
40,19
39,18.8
38,18
37,17.6
36,17
35,16.6
34,16.4
33,16
32,15.6
31,15
30,14
29,13.6
28,13
27,12
26,9
25,6
24,3
