pushups,pushups points
42,20
41,19.7
40,19.4
39,19
38,18.8
37,18.7
36,18.6
35,18.4
34,18.3
33,18.1
32,18
31,17.9
30,17.8
29,17.6
28,17.4
27,17.3
26,17.2
25,17
24,16.6
23,16.4
22,16
21,15.8
20,15.6
19,15.2
18,15
17,14
16,13.6
15,13
14,12
13,10
12,7
11,4
10,1
