pushups,pushups points
35,20
34,19.8
33,19.6
32,19.4
31,19.2
30,19
29,18.8
28,18.6
27,18.4
26,18.2
25,18
24,17.6
23,17.4
22,17.3
21,17.2
20,17
19,16.8
18,16.6
17,16.4
16,16.2
15,16
14,15
13,14
12,13
11,12
10,11
9,10
8,7
7,4
6,1
