pushups,pushups points
44,20
43,19.7
42,19.4
41,19.2
40,19
39,18.8
38,18.4
37,18.2
36,18
35,17.6
34,17
33,16.8
32,16.6
31,16.2
30,16
29,15
28,14.6
27,14.4
26,14
25,13
24,12
23,11.6
22,11
21,10
20,7
19,4
18,1
