pushups,pushups points
57,20
56,19.8
55,19.6
54,19.4
53,19.2
52,19
51,18.8
50,18.6
49,18.5
48,18.4
47,18.2
46,18
45,17.8
44,17.6
43,17.4
42,17.2
41,17
40,16.6
39,16
38,15.6
37,15.4
36,15
35,14.6
34,14
33,13.6
32,13.4
31,13
30,12
29,11
28,10.6
27,10
26,7
25,4
24,1
