pushups,pushups points
37,20
36,19.8
35,19.6
34,19.4
33,19.2
32,19
31,18.8
30,18.6
29,18.4
28,18.2
27,18
26,17.8
25,17.6
24,17.4
23,17.2
22,17
21,16.8
20,16.6
19,16.4
18,16.2
17,16
16,15.6
15,15
14,14
13,13
12,12
11,11
10,10
9,7
8,4
7,1
