situps,situps points
50,20
49,19.5
48,19
47,18.8
46,18
45,17.8
44,17.2
43,17
42,16
41,15.6
40,15
39,14.6
38,14
37,13.6
36,13
35,12.6
34,12
33,9
32,6
31,3
