situps,situps points
31,20
30,19.7
29,19.4
28,19
27,18.8
26,18
25,17.8
24,17.6
23,17.4
22,17.2
21,17
20,16.8
19,16.6
18,16.4
17,16
16,15.6
15,15
14,14.6
13,14
12,13
11,12
10,9
9,6
8,3
