situps,situps points
44,20
43,19.7
42,19.4
41,19
40,18.8
39,18.4
38,18.2
37,18
36,17.6
35,17.4
34,17
33,16
32,15.6
31,15
30,14.6
29,14
28,13.6
27,13
26,12.6
25,12
24,9
23,6
22,3
