pushups,pushups points
28,20
27,19.7
26,19.4
25,19.2
24,19
23,18.6
22,18
21,17.6
20,17.2
19,17
18,16.8
17,16.6
16,16.4
15,16.2
14,16
13,15
12,14
11,13
10,12
9,11
8,10
7,7
6,4
5,1
