situps,situps points
32,20
31,19.7
30,19.4
29,19.2
28,19
27,18
26,17.8
25,17.6
24,17.2
23,17
22,16
21,15
20,14.6
19,14
18,13.6
17,13
16,12.6
15,12
14,9
13,6
12,3
