pushups,pushups points
36,20
35,19.7
34,19.4
33,19
32,18.8
31,18.4
30,18.2
29,18
28,17.6
27,17.4
26,17
25,16.6
24,16
23,15
22,14
21,13
20,12.6
19,12
18,11.6
17,11
16,10.6
15,10
14,7
13,4
12,1
