pushups,pushups points
33,20
32,19.8
31,19.4
30,19
29,18.4
28,18
27,17.8
26,17.4
25,17
24,16.8
23,15.8
22,14.8
21,14
20,13
19,12.4
18,11.8
17,11.4
16,10.8
15,10
14,7
13,4
12,1
