situps,situps points
42,20
41,19.7
40,19.4
39,19
38,18.8
37,18.4
36,18.2
35,18
34,17.8
33,17.6
32,17.2
31,17
30,16
29,15.6
28,15
27,14.6
26,14
25,13.6
24,13
23,12.6
22,12
21,9
20,6
19,3
