pushups,pushups points
38,20
37,19.8
36,19.6
35,19.4
34,19.2
33,19
32,18.8
31,18.4
30,18.2
29,18
28,17.8
27,17.6
26,17.4
25,17.3
24,17.2
23,17
22,16.8
21,16.6
20,16.4
19,16.2
18,16
17,15.6
16,15
15,14
14,13
13,12
12,11
11,10
10,7
9,4
8,1
