situps,situps points
54,20
53,19.7
52,19.4
51,19
50,18.8
49,18
48,17.8
47,17.6
46,17.2
45,17
44,16
43,15.6
42,15
41,14
40,13.6
39,13
38,12
37,9
36,6
35,3
