situps,situps points
45,20
44,19.7
43,19.4
42,19
41,18.8
40,18
39,17.6
38,17
37,16.6
36,16.4
35,16
34,15.6
33,15
32,14
31,13.6
30,13
29,12
28,9
27,6
26,3
