pushups,pushups points
44,20
43,19.8
42,19.6
41,19.4
40,19.2
39,19
38,18.8
37,18.4
36,18.2
35,18
34,17.6
33,17
32,16.8
31,16.6
30,16.2
29,16
28,15
27,14.6
26,14.4
25,14
24,13
23,12.6
22,12
21,11.6
20,11
19,10.6
18,10
17,7
16,4
15,1
