situps,situps points
50,20
49,19.7
48,19.4
47,19
46,18.8
45,18.4
44,18.2
43,18
42,17.6
41,17.4
40,17
39,16
38,15.6
37,15
36,14
35,13
34,12
33,9
32,6
31,3
