pushups,pushups points
62,20
61,19.7
60,19.4
59,19
58,18.8
57,18.6
56,18.4
55,18.2
54,18
53,17.8
52,17.6
51,17.5
50,17.4
49,17.2
48,17
47,16.8
46,16.6
45,16.2
44,16
43,15.6
42,15.4
41,15
40,14.6
39,14.4
38,14
37,13.6
36,13
35,12.6
34,12
33,11.6
32,11
31,10.6
30,10
29,7
28,4
27,1
