situps,situps points
41,20
40,19.7
39,19.4
38,19
37,18.8
36,18.4
35,18.2
34,18
33,17.6
32,17
31,16.6
30,16.4
29,16
28,15
27,14
26,13.6
25,12.8
24,12
23,9
22,6
21,3
