situps,situps points
48,20
47,19.7
46,19.4
45,19.2
44,19
43,18.8
42,18.4
41,18
40,17.6
39,17.4
38,17
37,16.6
36,16
35,15.6
34,15
33,14
32,13
31,12
30,9
29,6
28,3
