pushups,pushups points
47,20
46,19.8
45,19.6
44,19.4
43,19.2
42,19
41,18.8
40,18.6
39,18.4
38,18.2
37,18
36,17.8
35,17.6
34,17.2
33,17
32,16.8
31,16.6
30,16.4
29,16.2
28,16
27,15
26,14.6
25,14.4
24,14
23,13
22,12.6
21,12
20,11.6
19,11
18,10
17,7
16,4
15,1
