pushups,pushups points
46,20
45,19.9
44,19.8
43,19.6
42,19.4
41,19.2
40,19
39,18.8
38,18.7
37,18.6
36,18.4
35,18.3
34,18.2
33,18
32,17.9
31,17.8
30,17.6
29,17.4
28,17.3
27,17.2
26,17
25,16.6
24,16.4
23,16
22,15.8
21,15.6
20,15.2
19,15
18,14
17,13.6
16,13
15,12
14,10
13,7
12,4
11,1
